C9D0  EA                  A:40 X:00 Y:00 SR:67 SP:FB CYC:704
C9D1  B8                  A:40 X:00 Y:00 SR:67 SP:FB CYC:706
C9D2  C9 3F               A:40 X:00 Y:00 SR:27 SP:FB CYC:708
C9D4  F0 09               A:40 X:00 Y:00 SR:25 SP:FB CYC:710
C9D6  30 07               A:40 X:00 Y:00 SR:25 SP:FB CYC:712
C9D8  90 05               A:40 X:00 Y:00 SR:25 SP:FB CYC:714
C9DA  70 03               A:40 X:00 Y:00 SR:25 SP:FB CYC:716
C9DC  4C E3 C9            A:40 X:00 Y:00 SR:25 SP:FB CYC:718
C9E3  EA                  A:40 X:00 Y:00 SR:25 SP:FB CYC:721
C9E4  C9 41               A:40 X:00 Y:00 SR:25 SP:FB CYC:723
C9E6  F0 07               A:40 X:00 Y:00 SR:A4 SP:FB CYC:725
C9E8  10 05               A:40 X:00 Y:00 SR:A4 SP:FB CYC:727
C9EA  10 03               A:40 X:00 Y:00 SR:A4 SP:FB CYC:729
C9EC  4C F3 C9            A:40 X:00 Y:00 SR:A4 SP:FB CYC:731
C9F3  EA                  A:40 X:00 Y:00 SR:A4 SP:FB CYC:734
C9F4  A9 80               A:40 X:00 Y:00 SR:A4 SP:FB CYC:736
C9F6  C9 00               A:80 X:00 Y:00 SR:A4 SP:FB CYC:738
C9F8  F0 07               A:80 X:00 Y:00 SR:A5 SP:FB CYC:740
C9FA  10 05               A:80 X:00 Y:00 SR:A5 SP:FB CYC:742
C9FC  90 03               A:80 X:00 Y:00 SR:A5 SP:FB CYC:744
C9FE  4C 05 CA            A:80 X:00 Y:00 SR:A5 SP:FB CYC:746
CA05  EA                  A:80 X:00 Y:00 SR:A5 SP:FB CYC:749
CA06  C9 80               A:80 X:00 Y:00 SR:A5 SP:FB CYC:751
CA08  D0 07               A:80 X:00 Y:00 SR:27 SP:FB CYC:753
CA0A  30 05               A:80 X:00 Y:00 SR:27 SP:FB CYC:755
CA0C  90 03               A:80 X:00 Y:00 SR:27 SP:FB CYC:757
CA0E  4C 15 CA            A:80 X:00 Y:00 SR:27 SP:FB CYC:759
CA15  EA                  A:80 X:00 Y:00 SR:27 SP:FB CYC:762
CA16  C9 81               A:80 X:00 Y:00 SR:27 SP:FB CYC:764
CA18  B0 07               A:80 X:00 Y:00 SR:A4 SP:FB CYC:766
CA1A  F0 05               A:80 X:00 Y:00 SR:A4 SP:FB CYC:768
CA1C  10 03               A:80 X:00 Y:00 SR:A4 SP:FB CYC:770
CA1E  4C 25 CA            A:80 X:00 Y:00 SR:A4 SP:FB CYC:772
CA25  EA                  A:80 X:00 Y:00 SR:A4 SP:FB CYC:775
CA26  C9 7F               A:80 X:00 Y:00 SR:A4 SP:FB CYC:777
CA28  90 07               A:80 X:00 Y:00 SR:25 SP:FB CYC:779
CA2A  F0 05               A:80 X:00 Y:00 SR:25 SP:FB CYC:781
CA2C  30 03               A:80 X:00 Y:00 SR:25 SP:FB CYC:783
CA2E  4C 35 CA            A:80 X:00 Y:00 SR:25 SP:FB CYC:785
CA35  EA                  A:80 X:00 Y:00 SR:25 SP:FB CYC:788
